X,Y,OBJECTID,BUSSTOPID,STOPNUMBER,LTAR,LOCATION,ACCESSIBLE,BUSPADID,FDMID,FCODE,SOURCE,SACC,ADDDATE,MODDATE
-63.477857500467294,44.604510000979666,426500,BS1114,8269,Yes,Shore Rd Before Shoreview Dr (8269),Non-Standard,CPD1358,200001969,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.65916909968653,44.73130830104914,426501,BS772,6237,Yes,Bedford Hwy Before Dartmouth Rd (6237),Non-Standard,CPD950,100001779,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.602962899357976,44.654366100764989,426502,BS1643,8557,Yes,Windsor St Before Almon St (8557),Accessible,CPD1651,300000934,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.607041999942822,44.688265000974233,426503,BS1509,8072,Yes,Princess Margaret Blvd At Civic 55 (8072),Accessible,CPD267,200000242,Conventional Transit Bus Stop,29/12/2016,Coordinated Point,2016-07-29T00:00:00.000Z,2017-02-06T00:00:00.000Z
-63.324607158784715,44.740621816622472,426504,BS18,8916,Yes,Hwy 7 Before Sandy Ln (8916),Inaccessible,CPD480,400000443,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.805602900127397,44.734040700919273,426505,BS1525,6821,Yes,Hammonds Plains Rd Before Civic 2465 (6821),Non-Standard,CPD1699,600000073,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.682961800148284,44.688060001164935,426506,BS1199,7030,Yes,Kearney Lake Rd Before Hamshaw Dr (7030),Inaccessible,CPD1285,300002954,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.695828400505455,44.725377300642073,426507,BS1354,6788,Yes,Innovation Dr After Hammonds Plains Rd (6788),Accessible,CPD1525,700006963,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.543707422594693,44.861792695136323,426508,BS1241,8698,No,Beaver Bank Rd At Civic 619 (8715),Non-Standard,CPD1598,100001256,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.692332399964783,44.791356700621343,426509,BS347,8757,Yes,Beaver Bank Rd Before Millwood Dr (8757),Non-Standard,CPD622,100001739,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.531821499558482,44.671712901225774,426510,BS1029,8589,Yes,Woodlawn Rd After Portland St (8589),Accessible,CPD1402,700006015,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.681300600490601,44.778534000950543,426511,BS519,6746,Yes,Glendale Dr After Riverside Dr (6746),Non-Standard,CPD849,100000630,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.604872999723007,44.70998730135986,426512,BS1026,6007,Yes,Akerley Blvd After Isnor Dr (6007),Accessible,CPD1331,700004272,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.491352099564857,44.666408900994462,426513,BS1574,6466,Yes,Colby Dr After Delta Dr (6466),Accessible,CPD256,200002881,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.660469000530206,44.692499400250895,426514,BS768,6233,Yes,Bedford Hwy At Lodge Dr (6233),Inaccessible,CPD949,300003593,Conventional Transit Bus Stop,TRANSIT,Coordinated Point,2016-07-29T00:00:00.000Z,
-63.641486400224174,44.670261301000934,426515,BS572,6217,Yes,Bedford Hwy After Seton Rd (6217),Accessible,CPD2542,300003384,Conventional Transit Bus Stop,21/12/2016,Coordinated Point,2016-07-29T00:00:00.000Z,2017-02-06T00:00:00.000Z
